date,ticker,sector,market_type,market_cap_group,return_1d,return_3d,return_5d,return_20d,return_60d,close_ma5_ratio,close_ma20_ratio,close_ma60_ratio,momentum_5d,momentum_20d,momentum_diff,momentum_accel,relative_return_5d_vs_market,relative_return_20d_vs_market,relative_return_20d_vs_sector,momentum_rank_pct,volume_change_1d,relative_trading_value,trading_value_rank_pct,volatility_5d,volatility_20d,intraday_range_5d,atr_percent,volatility_rank_pct,body,upper_shadow,lower_shadow,body_ratio,close_position,high_20d,low_20d,close_to_20d_high,close_to_20d_low,breakout_strength,breakout_rank_pct,rsi14,rsi_change_5d,macd_hist_ratio,bb_position,bb_width,bb_position_change_5d,rsi_rank_pct,macd_rank_pct,bb_position_rank_pct,atr_rank_pct,return_5d_rank_pct,return_20d_rank_pct,momentum_20d_rank_pct,momentum_diff_rank_pct,volume_change_rank_pct,bb_width_rank_pct,low_rebound_rank_pct,relative_return_5d_rank_pct,sector_relative_rank_pct,nasdaq_return_1d,sox_return_1d,sp500_return_1d,vix_change_1d,usdkrw_return_1d,wti_return_1d
2024-01-01,AAA,Semiconductor,KOSPI,Top50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,AAA,Semiconductor,KOSPI,Top50,,,,,,,,,,,,,,,,,,,,,,,,,0.0020040080158312905,0.01002004007915631,0.009999999998998043,0.09099181032305917,0.5450409438351201,,,,,,,,,0.0,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,
2024-01-03,AAA,Semiconductor,KOSPI,Top50,0.005700000000000038,,,,,,,,,,,,,,,,0.008000000000000007,,,,,,,,0.0010010010009014155,0.01001001000901373,0.009999999999004644,0.047641733933438415,0.5235826559284645,,,,,,,99.99999824561407,,0.0003616989994277799,,,,0.6666666666666666,1.0,,,,,,,1.0,,,,,0.0007999999999999119,0.0011250000000000426,0.0006399999999999739,0.010000000000000009,0.00026923076923068834,0.0005555555555556424
2024-01-04,AAA,Semiconductor,KOSPI,Top50,0.00566769414338264,,,,,,,,,,,,,,,,0.007936507936507908,,,,,,,,0.0,0.00999999999901122,0.00999999999901122,0.0,0.4999999975281788,,,,,,,99.99999824561407,,0.0009250756342558004,,,,0.6666666666666666,1.0,,,,,,,1.0,,,,,0.0007993605115907965,0.0011237357972280204,0.0006395906619762748,0.00990099009900991,0.00026915830353368975,0.0005552470849528035
2024-01-05,AAA,Semiconductor,KOSPI,Top50,0.005635752422384677,0.017099999999999893,,,,,,,,,,,,,,,0.007874015748031482,,,,,,,,0.0020040080158345804,0.010020040079173181,0.009999999999014865,0.09099181033001573,0.5450409438768082,,,,,,,99.99999824561407,,0.0015788074713914378,,,,0.6666666666666666,1.0,,,,,,,1.0,,,,,0.0007987220447285281,0.0011224744325268876,0.0006391818472357702,0.009803921568627416,0.00026908587683549534,0.0005549389567147678
2024-01-08,AAA,Semiconductor,KOSPI,Top50,0.005604168714973934,0.017003082430148142,,,,0.011271504844769575,,,,,,,,,,,0.0078125,,,,,0.021187999999999995,,,0.0010010010009029685,0.01001001000903038,0.009999999999021337,0.04764173393720642,0.523582655969931,,,,,,,99.99999824561407,,0.0022475785918461004,,,,0.6666666666666666,1.0,,,,,,,1.0,,,,,0.0007980845969672856,0.0011212158963498364,0.0006387735547748186,0.009708737864077666,0.0002690134891050189,0.0005546311702717688
2024-01-09,AAA,Semiconductor,KOSPI,Top50,0.005572937035588588,0.016907257267154474,0.02849999999999997,,,0.011208337429947646,,,0.02849999999999997,,,,0.002014048531289909,,,,0.007751937984496138,,,5.022620629596662e-05,,0.020791999999999956,,,0.0,0.009999999999027653,0.009999999999027653,0.0,0.49999999756927566,,,,,,,99.99999824561407,,0.0028824359761462784,,,,0.6666666666666666,1.0,,,1.0,,,,1.0,,,1.0,,0.0007974481658692412,0.0011199601791935798,0.0006383657835939971,0.009615384615384581,0.00026894114031028593,0.0005543237250555944
2024-01-10,AAA,Semiconductor,KOSPI,Top50,0.005542051531356451,0.016812506144922024,0.028338470716913644,,,0.011145874071177175,,,0.028338470716913644,,,-0.00016152928308632575,0.001992589001592753,,,,0.007692307692307665,,,4.9664759170956586e-05,,0.020989999999999943,,,0.002004008015837899,0.010020040079189496,0.009999999999031128,0.09099181033674791,0.5450409439171205,,,,,,,99.99999824561407,0.0,0.0034534968784929745,,,,0.6666666666666666,1.0,,,1.0,,,,1.0,,,1.0,,0.0007968127490038945,0.0011187072715972413,0.0006379585326954373,0.00952380952380949,0.0002688688304204323,0.0005540166204984764
2024-01-11,AAA,Semiconductor,KOSPI,Top50,-0.0026107135950492744,0.008506061791161645,0.019873442752620152,,,0.004557760853898252,,,0.019873442752620152,,,-0.008465027964293492,0.001390405976463411,,,,0.007633587786259444,,,0.0036670677729757272,,0.021187999999999946,,,0.001001001000903855,0.01001001000903855,0.009999999999029546,0.04764173393908116,0.5235826559905036,,,,,,,96.48437324117036,-3.515625004443706,0.003456888043583257,,,,0.6666666666666666,1.0,,,1.0,,,,1.0,,,1.0,,0.0007961783439489611,0.0011174571641421327,0.0006375518010837133,0.009433962264151052,0.0002687965594041497,0.0005537098560355336
2024-01-12,AAA,Semiconductor,KOSPI,Top50,0.005525933107125569,0.008458920758386057,0.019762068626487217,,,0.006169725660626346,,,0.019762068626487217,,,-0.00011137412613293485,0.0013757482250908275,,,,0.007575757575757569,,,0.0036547462677600302,,0.02079199999999995,,,0.0,0.009999999999035853,0.009999999999035853,0.0,0.4999999975896645,,,,,,,96.74457253181826,-3.255425713795802,0.003571229541812778,,,,0.6666666666666666,1.0,,,1.0,,,,1.0,,,1.0,,0.0007955449482894839,0.0011162098474513105,0.0006371455877669518,0.009345794392523255,0.0002687243272294637,0.0005534034311012181
